1	1-Methylhistidine	251	Obesity	Adult: >=18 yrs old	Both	Urine	10.9 (0.80-21.0) umol/mmol creatinine	umol/mmol creatinine	NULL	654	Tuma, P., Samcova, E. & Balinova, P. Determination of 3-methylhistidine and 1-methylhistidine in untreated urine samples by capillary electrophoresis. J Chromatogr B Analyt Technol Biomed Life Sci 821, 53-59 (2005).	15899597
1	1-Methylhistidine	1	Normal	Adult: >=18 yrs old	Both	Urine	85.8 (17.7-153.8) umol/mmol creatinine	umol/mmol creatinine	NULL	367200	David F. Putnam Composition and Concentrative Properties of Human Urine. NASA Contractor Report. July 1971	NULL
1	1-Methylhistidine	33	Alzheimer's Disease	Adult: >=18 yrs old	Both	Urine	15.7 (11.7-19.7) umol/mmol creatinine	umol/mmol creatinine	NULL	129	Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).	17031479
1	1-Methylhistidine	34	Pregnancy	Adult: >=18 yrs old	Female	Blood	50.0 uM	uM	NULL	367357	NULL	22494326
1	1-Methylhistidine	1	Normal	Adult: >=18 yrs old	Both	Blood	12.7 uM	uM	NULL	116748	Dohm, G. L., Williams, R. T., Kasperek, G. J. & van Rij, A. M. Increased excretion of urea and N tau -methylhistidine by rats and humans after a bout of exercise. J Appl Physiol 52, 27-33 (1982).	7061274
1	1-Methylhistidine	5988	Preeclampsia/Eclampsia	Adult: >=18 yrs old	Female	Blood	50.7 uM	uM	NULL	367357	NULL	22494326
1	1-Methylhistidine	83	Chronic Kidney Disease	Adult: >=18 yrs old	Both	Blood	28.8 (10.6-47.0) uM	uM	NULL	958	Raj, D. S., Ouwendyk, M., Francoeur, R. & Pierratos, A. Plasma amino acid profile on nocturnal hemodialysis. Blood Purif 18, 97-102 (2000).	10838467
2	1,3-Diaminopropane	207	Leukemia	Adult: >=18 yrs old	Both	Urine	0.96 (0.12-2.1) umol/mmol creatinine	umol/mmol creatinine	NULL	1173	Lee, S. H., Suh, J. W., Chung, B. C. & Kim, S. O. Polyamine profiles in the urine of patients with leukemia. Cancer Lett 122, 1-8 (1998).	9464484
2	1,3-Diaminopropane	1	Normal	Adult: >=18 yrs old	Both	Urine	0.015 (2.0-) umol/mmol creatinine	umol/mmol creatinine	NULL	1873	Guo, K. & Li, L. Differential 12C-/13C-isotope dansylation labeling and fast liquid chromatography/mass spectrometry for absolute and relative quantification of the metabolome. Anal Chem 81, 3919-3932 (2009).	19309105
4	2-Hydroxybutyric acid	286	Pyruvate Dehydrogenase Deficiency	Adult: >=18 yrs old	Both	Urine	25.0 umol/mmol creatinine	umol/mmol creatinine	NULL	367359	OMIM 238331	NULL
4	2-Hydroxybutyric acid	1	Normal	Adult: >=18 yrs old	Both	Urine	2.8 umol/mmol creatinine	umol/mmol creatinine	NULL	366611	NULL	24023812
4	2-Hydroxybutyric acid	34	Pregnancy	Adult: >=18 yrs old	Female	Blood	19.5 uM	uM	NULL	367357	NULL	22494326
4	2-Hydroxybutyric acid	1	Normal	Adult: >=18 yrs old	Both	Blood	54.0 uM	uM	NULL	566	Hoffmann, G. F., Meier-Augenstein, W., Stockler, S., Surtees, R., Rating, D. & Nyhan, W. L. Physiology and pathophysiology of organic acids in cerebrospinal fluid. J Inherit Metab Dis 16, 648-669 (1993).	8412012
4	2-Hydroxybutyric acid	5988	Preeclampsia/Eclampsia	Adult: >=18 yrs old	Female	Blood	21.4 uM	uM	NULL	367357	NULL	22494326
5	2-Methoxyestrone	279	Prolactinoma	Adult: >=18 yrs old	Both	Urine	0.025 (0.020-0.030) umol/mmol creatinine	umol/mmol creatinine	NULL	1606	Lee, S. H., Nam, S. Y. & Chung, B. C. Altered profile of endogenous steroids in the urine of patients with prolactinoma. Clin Biochem 31, 529-535 (1998).	9812172
5	2-Methoxyestrone	1	Normal	Adult: >=18 yrs old	Both	Urine	0.0050 (0.0040-0.0060) umol/mmol creatinine	umol/mmol creatinine	NULL	1606	Lee, S. H., Nam, S. Y. & Chung, B. C. Altered profile of endogenous steroids in the urine of patients with prolactinoma. Clin Biochem 31, 529-535 (1998).	9812172
6	(R)-3-Hydroxybutyric acid	138	Fumarase Deficiency	Infant: 1 wk-2 yrs old	Male	Urine	351.9 umol/mmol creatinine	umol/mmol creatinine	NULL	366625	NULL	26078636
